Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.01,9942,99,9826,9443,375,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9644,8739,864,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9331,7694,1481,144,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9033,6718,2006,281,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8732,5859,2349,463,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8427,5141,2562,623,92,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8124,4505,2693,765,147,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,6786,2607,2541,1177,365,79,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9830,9452,369,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9668,8767,866,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9392,7723,1515,142,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9113,6791,2017,274,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8829,5989,2333,441,60,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8541,5301,2534,602,89,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8237,4658,2618,783,148,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,7028,2780,2540,1187,404,95,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9830,9441,371,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9661,8740,882,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9386,7714,1521,144,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9098,6777,1998,289,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8828,5981,2324,455,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8542,5258,2535,623,107,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8263,4645,2648,798,146,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,7126,2754,2594,1249,423,83,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9833,9451,375,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9667,8763,867,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9371,7726,1487,149,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9080,6784,1981,298,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8775,5931,2366,433,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8491,5211,2606,568,91,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8193,4592,2671,750,149,28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,7023,2667,2652,1214,368,90,23,8,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9805,9430,368,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9549,8611,886,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9148,7528,1456,152,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,8719,6475,1925,290,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8287,5562,2237,432,50,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,7827,4789,2374,576,78,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7334,4100,2418,669,128,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9802,9423,368,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9615,8706,863,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9283,7618,1498,155,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,8961,6676,1956,293,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8594,5786,2299,440,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8238,5036,2480,608,103,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7856,4398,2560,745,131,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,6312,2488,2323,1093,325,61,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9804,9433,364,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9607,8681,872,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9280,7610,1492,167,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,8951,6653,1964,306,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8607,5849,2282,408,63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8276,5089,2486,587,98,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7947,4446,2617,733,135,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,6408,2535,2422,1025,325,82,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9806,9426,373,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9550,8671,841,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9157,7500,1519,124,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,8757,6494,1992,244,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8328,5665,2211,389,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,7872,4837,2375,550,99,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,7411,4141,2432,700,118,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9942,99,9827,9419,401,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9942,249,9665,8753,860,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9942,497,9370,7628,1566,163,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9942,746,9094,6719,2035,305,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9942,994,8808,5956,2339,447,56,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9942,1243,8522,5210,2580,626,87,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9942,1491,8244,4557,2720,800,141,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9942,2486,7036,2730,2587,1249,352,106,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
