N,ave_k,sample,susceptible neighbours,S at time of sample,num 1s,num 2s,num 3s,num 4s,num 5 or more
9926.0,4.9732016925246825,0.01,400.0,9787.0,398.0,2.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,905.0,9533.0,869.0,34.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1619.0,9088.0,1490.0,121.0,8.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2121.0,8605.0,1827.0,269.0,23.0,1.0,1.0
9926.0,4.9732016925246825,0.1,2485.0,7940.0,2057.0,379.0,45.0,4.0,0.0
9926.0,4.9732016925246825,0.125,2624.0,7196.0,2092.0,451.0,69.0,12.0,0.0
9926.0,4.9732016925246825,0.15,2631.0,6430.0,2013.0,519.0,86.0,10.0,3.0
9926.0,4.9732016925246825,0.01,395.0,9820.0,388.0,7.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,886.0,9656.0,847.0,36.0,3.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1719.0,9386.0,1556.0,147.0,14.0,2.0,0.0
9926.0,4.9732016925246825,0.075,2290.0,9104.0,1959.0,295.0,35.0,1.0,0.0
9926.0,4.9732016925246825,0.1,2833.0,8801.0,2347.0,418.0,63.0,5.0,0.0
9926.0,4.9732016925246825,0.125,3243.0,8521.0,2544.0,579.0,103.0,16.0,1.0
9926.0,4.9732016925246825,0.15,3588.0,8227.0,2670.0,754.0,142.0,19.0,3.0
9926.0,4.9732016925246825,0.01,358.0,9811.0,349.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,847.0,9614.0,808.0,39.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1599.0,9270.0,1475.0,116.0,8.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2258.0,8932.0,1976.0,263.0,19.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2792.0,8613.0,2312.0,424.0,51.0,5.0,0.0
9926.0,4.9732016925246825,0.125,3184.0,8272.0,2521.0,551.0,101.0,10.0,1.0
9926.0,4.9732016925246825,0.15,3512.0,7920.0,2677.0,690.0,123.0,20.0,2.0
9926.0,4.9732016925246825,0.01,401.0,9812.0,393.0,8.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,920.0,9632.0,866.0,51.0,3.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1706.0,9334.0,1538.0,154.0,14.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2314.0,9022.0,1963.0,320.0,29.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2863.0,8715.0,2345.0,444.0,67.0,6.0,1.0
9926.0,4.9732016925246825,0.125,3239.0,8405.0,2514.0,610.0,101.0,14.0,0.0
9926.0,4.9732016925246825,0.15,3499.0,8102.0,2585.0,746.0,142.0,22.0,4.0
9926.0,4.9732016925246825,0.01,356.0,9742.0,349.0,7.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,897.0,9445.0,849.0,46.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1589.0,8937.0,1421.0,163.0,5.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2070.0,8439.0,1781.0,264.0,23.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2381.0,7684.0,1985.0,356.0,38.0,2.0,0.0
9926.0,4.9732016925246825,0.125,2590.0,6954.0,2020.0,480.0,79.0,11.0,0.0
9926.0,4.9732016925246825,0.01,341.0,9811.0,336.0,5.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,841.0,9609.0,808.0,32.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1614.0,9282.0,1451.0,154.0,9.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2237.0,8979.0,1928.0,279.0,28.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2766.0,8630.0,2246.0,456.0,58.0,5.0,1.0
9926.0,4.9732016925246825,0.125,3149.0,8293.0,2472.0,576.0,89.0,11.0,1.0
9926.0,4.9732016925246825,0.15,3466.0,7927.0,2586.0,740.0,126.0,12.0,2.0
9926.0,4.9732016925246825,0.01,369.0,9798.0,360.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,886.0,9592.0,839.0,46.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1638.0,9279.0,1480.0,149.0,8.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2227.0,8990.0,1919.0,288.0,19.0,1.0,0.0
9926.0,4.9732016925246825,0.1,2694.0,8666.0,2215.0,424.0,49.0,4.0,2.0
9926.0,4.9732016925246825,0.125,3119.0,8333.0,2428.0,578.0,100.0,12.0,1.0
9926.0,4.9732016925246825,0.15,3445.0,8010.0,2560.0,703.0,158.0,21.0,3.0
9926.0,4.9732016925246825,0.01,363.0,9804.0,357.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,880.0,9625.0,834.0,43.0,2.0,1.0,0.0
9926.0,4.9732016925246825,0.05,1668.0,9330.0,1516.0,143.0,9.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2315.0,9039.0,2025.0,264.0,23.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2842.0,8746.0,2358.0,429.0,47.0,8.0,0.0
9926.0,4.9732016925246825,0.125,3231.0,8448.0,2550.0,577.0,93.0,10.0,1.0
9926.0,4.9732016925246825,0.15,3538.0,8160.0,2622.0,772.0,128.0,11.0,5.0
9926.0,4.9732016925246825,0.01,336.0,9813.0,328.0,8.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,879.0,9642.0,835.0,40.0,4.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1665.0,9359.0,1486.0,170.0,8.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2303.0,9078.0,1981.0,292.0,28.0,1.0,1.0
9926.0,4.9732016925246825,0.1,2834.0,8796.0,2306.0,463.0,61.0,4.0,0.0
9926.0,4.9732016925246825,0.125,3297.0,8509.0,2539.0,636.0,112.0,7.0,3.0
9926.0,4.9732016925246825,0.15,3680.0,8231.0,2683.0,817.0,152.0,24.0,4.0
9926.0,4.9732016925246825,0.01,344.0,9812.0,334.0,10.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,887.0,9639.0,856.0,27.0,4.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1638.0,9352.0,1502.0,129.0,7.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2308.0,9075.0,1993.0,294.0,18.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2853.0,8777.0,2328.0,473.0,46.0,5.0,1.0
9926.0,4.9732016925246825,0.125,3298.0,8491.0,2539.0,663.0,84.0,8.0,4.0
9926.0,4.9732016925246825,0.15,3642.0,8206.0,2677.0,823.0,121.0,17.0,4.0
9926.0,4.9732016925246825,0.01,400.0,9803.0,390.0,10.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,922.0,9604.0,888.0,33.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1674.0,9247.0,1525.0,143.0,6.0,0.0,0.0
